GEO_ID,NAME,line_no,label,total,total_moe,below_pl,below_pl_moe,below_pl_pct,below_pl_pct_moe
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",001,Population for whom poverty status is determined,8791,743,1318,592,15,6.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",002,Under 18 years,2147,522,284,292,13.2,12.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",003,Under 5 years,479,190,54,91,11.3,18.2
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",004,5 to 17 years,1668,477,230,272,13.8,15.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",005,Related children of householder under 18 years,2147,522,284,292,13.2,12.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",006,18 to 64 years,5451,648,967,425,17.7,7.3
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",007,18 to 34 years,2186,572,357,236,16.3,9.5
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",008,35 to 64 years,3265,399,610,319,18.7,9.5
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",009,60 years and over,1617,358,198,122,12.2,6.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",010,65 years and over,1193,301,67,59,5.6,4.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",011,Male,4300,532,550,390,12.8,8.7
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",012,Female,4491,534,768,309,17.1,6
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",013,White alone,4925,756,1200,596,24.4,11
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",014,Black or African American alone,2485,531,3,6,0.1,0.2
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",015,American Indian and Alaska Native alone,383,484,29,37,7.6,3.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",016,Asian alone,766,319,67,92,8.7,12.4
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",017,Native Hawaiian and Other Pacific Islander alone,0,18,0,18,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",018,Some other race alone,66,106,0,18,0,39.2
