line_no,label
1,Civilian noninstitutionalized population 
2,Under 6 years 
3,6 to 18 years 
4,19 to 25 years 
5,26 to 34 years 
6,35 to 44 years 
7,45 to 54 years 
8,55 to 64 years 
9,65 to 74 years 
10,75 years and older 
11,Under 19 years 
12,19 to 64 years 
13,65 years and older 
14,Male 
15,Female 
16,White alone 
17,Black or African American alone 
18,American Indian and Alaska Native alone 
19,Asian alone 
20,Native Hawaiian and Other Pacific Islander alone 
21,Some other race alone 
22,Two or more races 
23,Hispanic or Latino (of any race) 
24,"White alone, not Hispanic or Latino "
25,In family households 
26,In married couple families 
27,In other families 
28,"Male reference person, no spouse present "
29,"Female reference person, no spouse present "
30,In non-family households and other living arrangements 
31,Native born 
32,Foreign born 
33,Naturalized 
34,Not a citizen 
35,With a disability 
36,No disability 
37,Civilian noninstitutionalized population 26 years and over 
38,Less than high school graduate 
39,High school graduate (includes equivalency) 
40,Some college or associate's degree 
41,Bachelor's degree or higher 
42,Civilian noninstitutionalized population 19 to 64 years 
43,In labor force 
44,Employed 
45,Unemployed 
46,Not in labor force 
47,Civilian noninstitutionalized population 19 to 64 years 
48,"Worked full-time, year round in the past 12 months "
49,"Worked less than full-time, year round in the past 12 months "
50,Did not work 
51,Total household population 
52,"Under $25,000 "
53,"$25,000 to $49,999 "
54,"$50,000 to $74,999 "
55,"$75,000 to $99,999 "
56,"$100,000 and over "
57,Civilian noninstitutionalized population for whom poverty status is determined 
58,Below 138 percent of the poverty threshold 
59,138 to 399 percent of the poverty threshold 
60,At or above 400 percent of the poverty threshold 
61,Below 100 percent of the poverty threshold 
