line_no,label
1,Population 16 years and over 
2,16 to 19 years 
3,20 to 24 years 
4,25 to 29 years 
5,30 to 34 years 
6,35 to 44 years 
7,45 to 54 years 
8,55 to 59 years 
9,60 to 64 years 
10,65 to 74 years 
11,75 years and over 
12,White alone 
13,Black or African American alone 
14,American Indian and Alaska Native alone 
15,Asian alone 
16,Native Hawaiian and Other Pacific Islander alone 
17,Some other race alone 
18,Two or more races 
19,Hispanic or Latino origin (of any race) 
20,"White alone, not Hispanic or Latino "
21,Population 20 to 64 years 
22,Male 
23,Female 
24,With own children under 18 years 
25,With own children under 6 years only 
26,With own children under 6 years and 6 to 17  years 
27,With own children 6 to 17 years only 
28,Below poverty level 
29,At or above the poverty level 
30,With any disability 
31,Population 25 to 64 years 
32,Less than high school graduate 
33,High school graduate (includes equivalency) 
34,Some college or associate's degree 
35,Bachelor's degree or higher 
